review_text,label
Highly recommend this laptop! The quality is outstanding.,1
Highly recommend this watch! The quality is outstanding.,1
Highly recommend this laptop! The quality is outstanding.,1
Highly recommend this tablet! The quality is outstanding.,1
"The watch is okay, but nothing extraordinary.",2
The shipping was late and the headphones arrived damaged.,0
This headphones is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
"It took a while, but eventually, I received my order.",2
I absolutely love the support. It made my day!,1
I absolutely love the customer service. It made my day!,1
This phone is amazing! It exceeded my expectations.,1
The shipping was late and the watch arrived damaged.,0
"The laptop is okay, but nothing extraordinary.",2
I am very disappointed with the laptop. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
The shipping was late and the watch arrived damaged.,0
"It took a while, but eventually, I received my order.",2
I am very disappointed with the laptop. It didn’t work as expected.,0
This laptop is amazing! It exceeded my expectations.,1
Highly recommend this headphones! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the online store. It made my day!,1
I absolutely love the product quality. It made my day!,1
I am very disappointed with the watch. It didn’t work as expected.,0
I absolutely love the customer service. It made my day!,1
Highly recommend this phone! The quality is outstanding.,1
The shipping was late and the headphones arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
This headphones is amazing! It exceeded my expectations.,1
I absolutely love the product quality. It made my day!,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this tablet! The quality is outstanding.,1
"It took a while, but eventually, I received my order.",2
I absolutely love the delivery service. It made my day!,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the delivery service. It made my day!,1
I am very disappointed with the watch. It didn’t work as expected.,0
The shipping was late and the phone arrived damaged.,0
This headphones is amazing! It exceeded my expectations.,1
I absolutely love the product quality. It made my day!,1
The shipping was late and the watch arrived damaged.,0
"It took a while, but eventually, I received my order.",2
"It took a while, but eventually, I received my order.",2
The shipping was late and the laptop arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
I am very disappointed with the tablet. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
The shipping was late and the watch arrived damaged.,0
Highly recommend this headphones! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
"It took a while, but eventually, I received my order.",2
The shipping was late and the laptop arrived damaged.,0
I am very disappointed with the laptop. It didn’t work as expected.,0
I absolutely love the product quality. It made my day!,1
Highly recommend this headphones! The quality is outstanding.,1
I absolutely love the product quality. It made my day!,1
The shipping was late and the headphones arrived damaged.,0
I absolutely love the product quality. It made my day!,1
The shipping was late and the phone arrived damaged.,0
This headphones is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
This phone is amazing! It exceeded my expectations.,1
I am very disappointed with the laptop. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
Terrible customer service! I will never buy from here again.,0
This headphones is amazing! It exceeded my expectations.,1
This tablet is amazing! It exceeded my expectations.,1
The shipping was late and the tablet arrived damaged.,0
"The tablet is okay, but nothing extraordinary.",2
I am very disappointed with the phone. It didn’t work as expected.,0
I am very disappointed with the headphones. It didn’t work as expected.,0
Highly recommend this phone! The quality is outstanding.,1
I absolutely love the support. It made my day!,1
This watch is amazing! It exceeded my expectations.,1
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
"The watch is okay, but nothing extraordinary.",2
Terrible customer service! I will never buy from here again.,0
"The watch is okay, but nothing extraordinary.",2
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the product quality. It made my day!,1
I absolutely love the product quality. It made my day!,1
Highly recommend this headphones! The quality is outstanding.,1
"The laptop is okay, but nothing extraordinary.",2
Terrible customer service! I will never buy from here again.,0
I absolutely love the delivery service. It made my day!,1
This headphones is amazing! It exceeded my expectations.,1
"The laptop is okay, but nothing extraordinary.",2
This watch is amazing! It exceeded my expectations.,1
Highly recommend this watch! The quality is outstanding.,1
I absolutely love the product quality. It made my day!,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
The shipping was late and the phone arrived damaged.,0
I am very disappointed with the watch. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
Highly recommend this phone! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
This phone is amazing! It exceeded my expectations.,1
The shipping was late and the headphones arrived damaged.,0
This phone is amazing! It exceeded my expectations.,1
"It took a while, but eventually, I received my order.",2
Terrible customer service! I will never buy from here again.,0
This watch is amazing! It exceeded my expectations.,1
The shipping was late and the laptop arrived damaged.,0
I absolutely love the product quality. It made my day!,1
The shipping was late and the tablet arrived damaged.,0
I absolutely love the delivery service. It made my day!,1
Terrible customer service! I will never buy from here again.,0
"The laptop is okay, but nothing extraordinary.",2
Highly recommend this watch! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
Terrible customer service! I will never buy from here again.,0
I am very disappointed with the laptop. It didn’t work as expected.,0
This phone is amazing! It exceeded my expectations.,1
I am very disappointed with the watch. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
Highly recommend this tablet! The quality is outstanding.,1
The shipping was late and the tablet arrived damaged.,0
The shipping was late and the headphones arrived damaged.,0
This laptop is amazing! It exceeded my expectations.,1
"It took a while, but eventually, I received my order.",2
I am very disappointed with the tablet. It didn’t work as expected.,0
I absolutely love the delivery service. It made my day!,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the online store. It made my day!,1
Highly recommend this headphones! The quality is outstanding.,1
This laptop is amazing! It exceeded my expectations.,1
"The tablet is okay, but nothing extraordinary.",2
"The tablet is okay, but nothing extraordinary.",2
This tablet is amazing! It exceeded my expectations.,1
I absolutely love the support. It made my day!,1
The shipping was late and the tablet arrived damaged.,0
This headphones is amazing! It exceeded my expectations.,1
The shipping was late and the laptop arrived damaged.,0
I am very disappointed with the headphones. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
I am very disappointed with the tablet. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
This phone is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
Terrible customer service! I will never buy from here again.,0
The shipping was late and the headphones arrived damaged.,0
"The phone is okay, but nothing extraordinary.",2
This headphones is amazing! It exceeded my expectations.,1
Highly recommend this phone! The quality is outstanding.,1
"The watch is okay, but nothing extraordinary.",2
"It took a while, but eventually, I received my order.",2
This laptop is amazing! It exceeded my expectations.,1
Highly recommend this phone! The quality is outstanding.,1
This phone is amazing! It exceeded my expectations.,1
I am very disappointed with the watch. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
The shipping was late and the laptop arrived damaged.,0
I absolutely love the online store. It made my day!,1
"It took a while, but eventually, I received my order.",2
I am very disappointed with the headphones. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
"It took a while, but eventually, I received my order.",2
Highly recommend this watch! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the support. It made my day!,1
Highly recommend this laptop! The quality is outstanding.,1
"It took a while, but eventually, I received my order.",2
This phone is amazing! It exceeded my expectations.,1
I absolutely love the product quality. It made my day!,1
"The phone is okay, but nothing extraordinary.",2
I am very disappointed with the phone. It didn’t work as expected.,0
Highly recommend this headphones! The quality is outstanding.,1
I am very disappointed with the watch. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
Highly recommend this headphones! The quality is outstanding.,1
This tablet is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
I am very disappointed with the laptop. It didn’t work as expected.,0
Highly recommend this phone! The quality is outstanding.,1
"The headphones is okay, but nothing extraordinary.",2
I absolutely love the support. It made my day!,1
I absolutely love the product quality. It made my day!,1
Highly recommend this headphones! The quality is outstanding.,1
I absolutely love the support. It made my day!,1
This watch is amazing! It exceeded my expectations.,1
"It took a while, but eventually, I received my order.",2
I am very disappointed with the watch. It didn’t work as expected.,0
The shipping was late and the tablet arrived damaged.,0
This watch is amazing! It exceeded my expectations.,1
Highly recommend this phone! The quality is outstanding.,1
I absolutely love the product quality. It made my day!,1
"It took a while, but eventually, I received my order.",2
Highly recommend this laptop! The quality is outstanding.,1
I am very disappointed with the headphones. It didn’t work as expected.,0
Highly recommend this watch! The quality is outstanding.,1
I am very disappointed with the watch. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
I absolutely love the delivery service. It made my day!,1
I absolutely love the delivery service. It made my day!,1
"It took a while, but eventually, I received my order.",2
Highly recommend this laptop! The quality is outstanding.,1
I absolutely love the online store. It made my day!,1
Terrible customer service! I will never buy from here again.,0
This laptop is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
Terrible customer service! I will never buy from here again.,0
Highly recommend this tablet! The quality is outstanding.,1
I absolutely love the delivery service. It made my day!,1
The shipping was late and the phone arrived damaged.,0
Highly recommend this headphones! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
This laptop is amazing! It exceeded my expectations.,1
"The headphones is okay, but nothing extraordinary.",2
I am very disappointed with the phone. It didn’t work as expected.,0
The shipping was late and the laptop arrived damaged.,0
The shipping was late and the headphones arrived damaged.,0
The shipping was late and the laptop arrived damaged.,0
"The phone is okay, but nothing extraordinary.",2
"It took a while, but eventually, I received my order.",2
The shipping was late and the tablet arrived damaged.,0
I am very disappointed with the tablet. It didn’t work as expected.,0
Highly recommend this laptop! The quality is outstanding.,1
Highly recommend this phone! The quality is outstanding.,1
This tablet is amazing! It exceeded my expectations.,1
This tablet is amazing! It exceeded my expectations.,1
This phone is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the online store. It made my day!,1
The shipping was late and the phone arrived damaged.,0
The shipping was late and the watch arrived damaged.,0
This phone is amazing! It exceeded my expectations.,1
I absolutely love the support. It made my day!,1
Highly recommend this watch! The quality is outstanding.,1
"The headphones is okay, but nothing extraordinary.",2
I absolutely love the online store. It made my day!,1
"It took a while, but eventually, I received my order.",2
"It took a while, but eventually, I received my order.",2
Highly recommend this tablet! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this headphones! The quality is outstanding.,1
I am very disappointed with the headphones. It didn’t work as expected.,0
Highly recommend this watch! The quality is outstanding.,1
The shipping was late and the phone arrived damaged.,0
The shipping was late and the tablet arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
This headphones is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this phone! The quality is outstanding.,1
This watch is amazing! It exceeded my expectations.,1
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
I am very disappointed with the headphones. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
This watch is amazing! It exceeded my expectations.,1
The shipping was late and the laptop arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
I absolutely love the support. It made my day!,1
Terrible customer service! I will never buy from here again.,0
I absolutely love the support. It made my day!,1
This headphones is amazing! It exceeded my expectations.,1
I absolutely love the delivery service. It made my day!,1
This laptop is amazing! It exceeded my expectations.,1
This phone is amazing! It exceeded my expectations.,1
I am very disappointed with the headphones. It didn’t work as expected.,0
This tablet is amazing! It exceeded my expectations.,1
I am very disappointed with the headphones. It didn’t work as expected.,0
"It took a while, but eventually, I received my order.",2
"The phone is okay, but nothing extraordinary.",2
I absolutely love the support. It made my day!,1
"It took a while, but eventually, I received my order.",2
The shipping was late and the headphones arrived damaged.,0
The shipping was late and the phone arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
Highly recommend this laptop! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
Highly recommend this phone! The quality is outstanding.,1
I absolutely love the product quality. It made my day!,1
I absolutely love the support. It made my day!,1
This laptop is amazing! It exceeded my expectations.,1
I am very disappointed with the phone. It didn’t work as expected.,0
Terrible customer service! I will never buy from here again.,0
The shipping was late and the tablet arrived damaged.,0
The shipping was late and the watch arrived damaged.,0
I am very disappointed with the headphones. It didn’t work as expected.,0
I am very disappointed with the headphones. It didn’t work as expected.,0
The shipping was late and the tablet arrived damaged.,0
This phone is amazing! It exceeded my expectations.,1
The shipping was late and the watch arrived damaged.,0
The shipping was late and the tablet arrived damaged.,0
This tablet is amazing! It exceeded my expectations.,1
I am very disappointed with the tablet. It didn’t work as expected.,0
The shipping was late and the watch arrived damaged.,0
"The phone is okay, but nothing extraordinary.",2
"The phone is okay, but nothing extraordinary.",2
I absolutely love the customer service. It made my day!,1
"The tablet is okay, but nothing extraordinary.",2
"It took a while, but eventually, I received my order.",2
The shipping was late and the headphones arrived damaged.,0
Highly recommend this headphones! The quality is outstanding.,1
"The watch is okay, but nothing extraordinary.",2
Terrible customer service! I will never buy from here again.,0
"It took a while, but eventually, I received my order.",2
I am very disappointed with the headphones. It didn’t work as expected.,0
"The watch is okay, but nothing extraordinary.",2
I am very disappointed with the laptop. It didn’t work as expected.,0
The shipping was late and the headphones arrived damaged.,0
Highly recommend this tablet! The quality is outstanding.,1
I am very disappointed with the tablet. It didn’t work as expected.,0
The shipping was late and the headphones arrived damaged.,0
"It took a while, but eventually, I received my order.",2
The shipping was late and the phone arrived damaged.,0
I am very disappointed with the laptop. It didn’t work as expected.,0
The shipping was late and the tablet arrived damaged.,0
The shipping was late and the headphones arrived damaged.,0
The shipping was late and the laptop arrived damaged.,0
I absolutely love the support. It made my day!,1
The shipping was late and the watch arrived damaged.,0
"It took a while, but eventually, I received my order.",2
I absolutely love the online store. It made my day!,1
I absolutely love the product quality. It made my day!,1
Terrible customer service! I will never buy from here again.,0
Terrible customer service! I will never buy from here again.,0
Highly recommend this tablet! The quality is outstanding.,1
The shipping was late and the laptop arrived damaged.,0
Highly recommend this headphones! The quality is outstanding.,1
Terrible customer service! I will never buy from here again.,0
"The phone is okay, but nothing extraordinary.",2
This laptop is amazing! It exceeded my expectations.,1
This phone is amazing! It exceeded my expectations.,1
Terrible customer service! I will never buy from here again.,0
This laptop is amazing! It exceeded my expectations.,1
I am very disappointed with the laptop. It didn’t work as expected.,0
I absolutely love the delivery service. It made my day!,1
I absolutely love the customer service. It made my day!,1
I am very disappointed with the tablet. It didn’t work as expected.,0
I am very disappointed with the phone. It didn’t work as expected.,0
"The laptop is okay, but nothing extraordinary.",2
This laptop is amazing! It exceeded my expectations.,1
The shipping was late and the watch arrived damaged.,0
I absolutely love the product quality. It made my day!,1
"It took a while, but eventually, I received my order.",2
"It took a while, but eventually, I received my order.",2
Terrible customer service! I will never buy from here again.,0
Highly recommend this phone! The quality is outstanding.,1
The shipping was late and the watch arrived damaged.,0
The shipping was late and the watch arrived damaged.,0
Terrible customer service! I will never buy from here again.,0
I am very disappointed with the watch. It didn’t work as expected.,0
I absolutely love the support. It made my day!,1
Terrible customer service! I will never buy from here again.,0
